epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.14078347384929657,4.128500938415527,1e-04,0.20423386991024017,3.002582311630249
1,0.21284542977809906,2.559790849685669,1e-04,0.2202620953321457,2.4826338291168213
2,0.2736106812953949,2.1613929271698,1e-04,0.4048387110233307,1.7261126041412354
3,0.32875797152519226,1.959467887878418,1e-04,0.22832661867141724,3.0006017684936523
4,0.37670817971229553,1.811275839805603,1e-04,0.4005040228366852,1.7289340496063232
5,0.40504100918769836,1.715398907661438,1e-04,0.4819556474685669,1.4940526485443115
6,0.423565149307251,1.6508572101593018,1e-04,0.4653225839138031,1.5538033246994019
7,0.446219265460968,1.6013597249984741,1e-04,0.5101814270019531,1.404760718345642
8,0.4539022147655487,1.5701826810836792,1e-04,0.4951612949371338,1.435585618019104
9,0.46577587723731995,1.5457308292388916,1e-04,0.5012096762657166,1.4081143140792847
10,0.4756453037261963,1.5182340145111084,1e-04,0.49979838728904724,1.4950741529464722
11,0.4832371771335602,1.4925949573516846,1e-04,0.5449596643447876,1.3047674894332886
12,0.4854539930820465,1.4808533191680908,1e-04,0.5060483813285828,1.4729540348052979
13,0.4980261027812958,1.4611811637878418,1e-04,0.5285282135009766,1.3464412689208984
14,0.5080474019050598,1.442773461341858,1e-04,0.5289314389228821,1.3839691877365112
15,0.5094138979911804,1.4338568449020386,1e-04,0.5465725660324097,1.3495571613311768
16,0.5106589794158936,1.4210221767425537,1e-04,0.5287298560142517,1.3688141107559204
17,0.5184026956558228,1.4047701358795166,1e-04,0.5379032492637634,1.3710391521453857
18,0.5480716824531555,1.3071141242980957,2e-05,0.5565524101257324,1.3283158540725708
19,0.561949610710144,1.273456335067749,2e-05,0.5727822780609131,1.2638025283813477
20,0.5628910064697266,1.260939121246338,2e-05,0.5772177577018738,1.2668298482894897
21,0.5721226930618286,1.2437909841537476,2e-05,0.5700604915618896,1.2788300514221191
22,0.5721226930618286,1.2368406057357788,2e-05,0.5829637050628662,1.226897954940796
23,0.5772244334220886,1.2154481410980225,2e-05,0.5742943286895752,1.2500172853469849
24,0.5795930624008179,1.2210640907287598,2e-05,0.58588707447052,1.2604087591171265
25,0.5823869109153748,1.203176498413086,2e-05,0.5883064270019531,1.2441047430038452
26,0.5867598056793213,1.194715976715088,2e-05,0.5847782492637634,1.2290985584259033
27,0.5924081206321716,1.1805307865142822,2e-05,0.5886088609695435,1.2236360311508179
28,0.5895839929580688,1.1833930015563965,2e-05,0.5823588967323303,1.2295082807540894
29,0.5884299874305725,1.1831001043319702,2e-05,0.5830644965171814,1.2451393604278564
30,0.599726676940918,1.1633704900741577,2e-05,0.586794376373291,1.2309534549713135
31,0.6012754440307617,1.1524958610534668,2e-05,0.590624988079071,1.20293390750885
32,0.5957789421081543,1.1598336696624756,2e-05,0.5853830575942993,1.2347995042800903
33,0.603978157043457,1.1465775966644287,2e-05,0.5783266425132751,1.2906862497329712
34,0.6052839159965515,1.140432357788086,2e-05,0.5787298679351807,1.2807822227478027
35,0.6055876016616821,1.1354719400405884,2e-05,0.5877016186714172,1.2367347478866577
36,0.6070148944854736,1.1336230039596558,2e-05,0.6009072661399841,1.196654200553894
37,0.6095353960990906,1.1241710186004639,2e-05,0.5852822661399841,1.2967681884765625
38,0.6133920550346375,1.1190130710601807,2e-05,0.5843750238418579,1.2766855955123901
39,0.6179168224334717,1.1115045547485352,2e-05,0.5823588967323303,1.2796944379806519
40,0.6139690279960632,1.1104828119277954,2e-05,0.5835685729980469,1.2424262762069702
41,0.6190100312232971,1.1027789115905762,2e-05,0.578931450843811,1.304897427558899
42,0.6191011071205139,1.0994688272476196,2e-05,0.5809475779533386,1.2759977579116821
43,0.6259034276008606,1.0762139558792114,4e-06,0.58981853723526,1.246497392654419
44,0.633070170879364,1.0687170028686523,4e-06,0.5865927338600159,1.253955602645874
45,0.6319769024848938,1.0654211044311523,4e-06,0.5901209712028503,1.2427382469177246
46,0.6354691982269287,1.056397557258606,4e-06,0.5928427577018738,1.2251505851745605
47,0.6372608542442322,1.0518596172332764,4e-06,0.5930443406105042,1.224744200706482
48,0.6368660926818848,1.0557094812393188,4e-06,0.5926411151885986,1.257193922996521
49,0.6352869868278503,1.0483719110488892,8e-07,0.5941532254219055,1.2462396621704102
50,0.637837827205658,1.043354868888855,8e-07,0.5943548679351807,1.2539796829223633
51,0.6413301229476929,1.0436123609542847,8e-07,0.5935483574867249,1.242151141166687
52,0.641117513179779,1.0432442426681519,8e-07,0.5947580933570862,1.2412880659103394
53,0.6421500444412231,1.0411428213119507,8e-07,0.5940524339675903,1.2515650987625122
54,0.6395991444587708,1.0423802137374878,8e-07,0.59375,1.2456164360046387
55,0.6362283825874329,1.0495696067810059,1.6e-07,0.59375,1.243109107017517
56,0.6405102014541626,1.0482838153839111,1.6e-07,0.5925403237342834,1.2464362382888794
57,0.6350136399269104,1.0531238317489624,1.6e-07,0.5936492085456848,1.2417277097702026
58,0.6397813558578491,1.0440593957901,1.6e-07,0.5934475660324097,1.2447034120559692
59,0.6363498568534851,1.0462177991867065,1.6e-07,0.5935483574867249,1.2447313070297241
