epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.21152032911777496,4.770299911499023,1e-04,0.1982421875,8.1862211227417
1,0.27502182126045227,3.7335751056671143,1e-04,0.3274274468421936,3.4194929599761963
2,0.2998778223991394,3.242966890335083,1e-04,0.3550502359867096,2.9364819526672363
3,0.3233723044395447,2.8186466693878174,1e-04,0.3522600531578064,2.602402448654175
4,0.3481934070587158,2.5033249855041504,1e-04,0.3909040093421936,2.4288082122802734
5,0.3766102194786072,2.2469828128814697,1e-04,0.4073660671710968,2.105548143386841
6,0.39780065417289734,2.0352768898010254,1e-04,0.4086216390132904,1.9206172227859497
7,0.4226566553115845,1.865553379058838,1e-04,0.4215959906578064,1.8126280307769775
8,0.4497818052768707,1.726768136024475,1e-04,0.3388671875,2.327083110809326
9,0.4888811409473419,1.5839002132415771,1e-04,0.4422433078289032,1.7499446868896484
10,0.495828241109848,1.533264398574829,1e-04,0.2477678507566452,2.7130260467529297
11,0.5265491604804993,1.4387675523757935,1e-04,0.4388950765132904,1.6910746097564697
12,0.5382440090179443,1.3850131034851074,1e-04,0.4712611734867096,1.5881284475326538
13,0.5576889514923096,1.3259495496749878,1e-04,0.4317801296710968,1.7498782873153687
14,0.5768197178840637,1.248159408569336,1e-04,0.4760044515132904,1.4784977436065674
15,0.5799965262413025,1.2285276651382446,1e-04,0.4418247640132904,1.6876238584518433
16,0.5918310284614563,1.2123451232910156,1e-04,0.4910714328289032,1.445037841796875
17,0.6067027449607849,1.155587911605835,1e-04,0.5002790093421936,1.4877502918243408
18,0.6281375288963318,1.1089787483215332,1e-04,0.4225725531578064,1.984617829322815
19,0.6382614970207214,1.0804928541183472,1e-04,0.4758649468421936,1.573024034500122
20,0.6485599875450134,1.049096703529358,1e-04,0.4496372640132904,1.7244867086410522
21,0.6748472452163696,0.9780736565589905,1e-04,0.4506138265132904,1.9536126852035522
22,0.6873800158500671,0.9324762225151062,1e-04,0.4793526828289032,1.5926669836044312
23,0.7378600239753723,0.8060129880905151,2e-05,0.4959542453289032,1.6472508907318115
24,0.7521382570266724,0.7741203904151917,2e-05,0.4836774468421936,1.655743956565857
25,0.7558736205101013,0.7564857602119446,2e-05,0.4817243218421936,1.7450560331344604
26,0.7697329521179199,0.7219734787940979,2e-05,0.4832589328289032,1.6787033081054688
27,0.7718624472618103,0.7102652192115784,2e-05,0.4645647406578064,1.8325093984603882
28,0.775667667388916,0.700281023979187,2e-05,0.4867466390132904,1.7242581844329834
29,0.7981148362159729,0.6562447547912598,4e-06,0.4910714328289032,1.7714089155197144
30,0.795391857624054,0.6498485803604126,4e-06,0.4814453125,1.827696442604065
31,0.7987932562828064,0.646929144859314,4e-06,0.4801897406578064,1.9043443202972412
32,0.7970675230026245,0.6429386734962463,4e-06,0.4734933078289032,1.8022013902664185
33,0.7990574240684509,0.6446717977523804,4e-06,0.4797711968421936,1.818613886833191
34,0.806004524230957,0.6306159496307373,4e-06,0.4751674234867096,1.8043439388275146
35,0.8006283640861511,0.6343015432357788,8e-07,0.4806082546710968,1.849577784538269
36,0.8080293536186218,0.6225208640098572,8e-07,0.4800502359867096,1.8670936822891235
37,0.803979754447937,0.6320234537124634,8e-07,0.482421875,1.8433287143707275
38,0.8084133267402649,0.6231277585029602,8e-07,0.4811663031578064,1.8456636667251587
39,0.8047128915786743,0.6230961084365845,8e-07,0.4838169515132904,1.879865050315857
40,0.8111363053321838,0.6154261827468872,8e-07,0.4821428656578064,1.837735891342163
41,0.8037703037261963,0.6216366291046143,1.6e-07,0.4820033609867096,1.8436909914016724
42,0.8060394525527954,0.6198165416717529,1.6e-07,0.4803292453289032,1.8449784517288208
43,0.8087624311447144,0.6195161938667297,1.6e-07,0.4786551296710968,1.8052672147750854
44,0.8045383095741272,0.624428391456604,1.6e-07,0.482421875,1.8686989545822144
45,0.8095304369926453,0.6168965697288513,1.6e-07,0.48046875,1.8564056158065796
46,0.8061441779136658,0.6228158473968506,1.6e-07,0.4800502359867096,1.8602131605148315
47,0.8074707388877869,0.6214312314987183,3.2e-08,0.4821428656578064,1.8722941875457764
48,0.8045033812522888,0.624128520488739,3.2e-08,0.48046875,1.8338310718536377
49,0.8064932823181152,0.62200528383255,3.2e-08,0.4828403890132904,1.8352758884429932
50,0.802967369556427,0.6270257234573364,3.2e-08,0.4827008843421936,1.8313320875167847
51,0.8082736730575562,0.6213698387145996,3.2e-08,0.4815848171710968,1.8193103075027466
52,0.8078896999359131,0.6207298040390015,3.2e-08,0.4808872640132904,1.8667134046554565
53,0.8093209862709045,0.6166926622390747,6.3999996e-09,0.4820033609867096,1.8537501096725464
54,0.8056554198265076,0.6201881170272827,6.3999996e-09,0.4820033609867096,1.8725773096084595
55,0.8105079531669617,0.6165561079978943,6.3999996e-09,0.4810267984867096,1.8723140954971313
56,0.8044685125350952,0.6215982437133789,6.3999996e-09,0.4811663031578064,1.9119378328323364
57,0.8083783984184265,0.6171875,6.3999996e-09,0.4828403890132904,1.8410741090774536
58,0.8102286458015442,0.6175119876861572,6.3999996e-09,0.4771205484867096,1.9350322484970093
59,0.807645320892334,0.6215617656707764,1.2799999e-09,0.482421875,1.8918615579605103
